FID,CV200320,CV200401,CV200407,CV200416,CV200423,CV200430,CV200507,CV200514,CV200520,CV200528,CV200604,CV200611,CV200618,CV200624,CV200702,CV200707,CV200715,CV200721,CV200730,CV200805
"6867",-1.29798797607433,4.25752807617225,4.87939758300825,10.0494909667978,5.58351379394581,12.7183544921886,17.8596997070328,27.7207055664087,43.5736718750039,56.0140429687533,69.9167724609375,68.2502490234375,77.156591796875,61.3929003906268,54.1350292968718,59.8008691406215,41.0151318359399,33.0671264648447,38.7174365234341,-1.5201492309569
"6868",-1.26291389465343,4.13051605224646,4.51714538574259,9.48986877441491,4.579046325684,11.4980615234385,16.0616894531264,27.9157324218775,43.0886669921913,56.1980175781283,71.2141845703125,70.74037109375,79.905224609375,64.8498779296894,59.2262792968715,63.2748339843713,43.4600781250026,35.1850268554698,40.1124584960902,-2.10458389282208
"6869",-1.28551177978527,3.97583679199254,4.41252441406289,9.16861999511801,4.67734375000042,9.71218383789149,15.3312219238295,27.481762695315,41.7992724609412,55.2290478515658,69.58359375,68.753564453125,78.65150390625,63.2784228515643,58.0961523437466,62.6003417968713,41.8230078125025,33.527089843751,39.991577148434,-1.83994445800765
"6870",-1.36030136108411,3.99635894775426,4.45748901367227,8.90565856933673,4.01920776367223,8.27818237304761,14.9289038085951,25.663981933596,36.5414965820345,50.3670361328155,67.9771533203125,65.4404296875,75.5607373046875,60.2446386718767,57.6307421874966,63.4521533203087,41.7037011718775,32.0573486328134,39.8161108398403,-1.82935531616195
"6888",0.160203666687026,6.58998046875059,4.31831542968789,9.61175781250086,7.33800415039128,12.0212463378917,20.8123754882831,28.6910668945338,43.1087939453163,63.7288671875038,70.419755859375,73.0767236328125,79.128359375,64.9339892578144,65.6393066406212,65.6579296874961,39.7085058593774,32.3659082031259,47.1141357421834,0.779612121581963
"6889",0.180438117980973,6.61157836914122,4.25339263916054,9.30997741699302,7.16163085937564,11.5568151855479,21.1575439453144,28.2918237304713,43.7111279296914,65.3243359375039,71.762939453125,75.1134716796875,81.0110986328125,66.9025488281269,68.4919580078085,67.2085107421835,41.74612792969,35.019560546876,50.5144775390581,0.879492340087814
"6890",0.138546371459973,6.51928527832089,4.49780517578165,9.69851440429774,7.99393493652415,13.2856958007824,22.701083984377,31.1256542968778,46.3831054687541,67.676718750004,73.760078125,77.345810546875,81.86951171875,67.736826171877,68.8738720703085,67.729619140621,43.3003515625026,35.1637622070323,50.9593359374956,0.944894866943277
"6891",0.139819335937512,6.46468261718808,4.40819641113321,9.53869995117273,8.40136291503981,13.5025390625012,23.1460864257833,30.6272802734402,49.2801513671919,69.2036767578166,75.575615234375,78.892275390625,83.647060546875,69.1264111328145,69.8770166015584,68.8267822265584,45.3226708984402,35.707998046876,53.7960351562453,1.04210113525381
"6892",0.030162706375125,6.46299682617245,4.38751159668008,9.19281555175863,7.54696777343817,12.5425292968761,21.6610742187519,30.1114013671902,46.5194482421917,68.2160595703165,75.2128515625,78.2562646484375,83.9388671875,69.093339843752,72.4318310546833,71.5570214843708,46.0705078125028,35.7315747070323,54.3766943359327,0.481800460815388
"6893",-0.022306802272799,6.57637207031309,4.37897705078164,9.50077209472741,7.75070373535225,12.7554223632824,21.1303540039081,30.5442578125027,47.5346923828167,68.086308593754,75.006689453125,77.624892578125,83.4091015625,67.8427099609395,71.8268066406208,71.0715234374958,46.5361914062528,35.413867187501,53.2347949218703,0.730585021972592
"6894",-0.022651591300966,6.37165100097713,4.43588439941446,9.30898071289146,7.55497070312567,12.4210473632824,21.3028222656269,30.7839892578152,47.1228027343792,68.5509863281291,75.9542724609375,78.826328125,84.540166015625,69.950302734377,73.5182421874957,72.9344287109332,46.7136718750028,35.0684130859385,51.865278320308,0.567473907470654
"6895",-0.050446248054509,6.34986938476619,4.53798004150431,9.39132812500084,7.2888793945319,12.8960656738293,21.5717187500019,32.6310473632842,49.6792773437544,69.7798339843791,77.814638671875,80.4088427734375,86.59923828125,71.1383886718771,71.5753222656208,71.9364404296832,43.3609570312526,33.5510717773447,49.4931249999957,1.50426391601549
"6896",-0.110368146896372,6.33068115234432,4.39060058593789,9.13653686523519,7.1318414306647,11.9967309570323,20.9854760742206,32.5566943359404,48.1353906250043,67.188710937504,76.424814453125,77.88009765625,85.42572265625,68.9812744140645,68.996455078121,69.7976318359334,42.4098437500025,32.6005151367197,48.3101708984333,1.78248840332016
"6897",-0.118001003265391,6.21794311523493,4.32746337890664,9.42541381836022,7.52691162109442,12.6057641601574,19.3859814453142,31.3093310546903,46.3810107421916,64.6193847656288,74.5084326171875,75.337958984375,82.373671875,65.5025585937519,64.9951953124962,65.2825683593711,41.8200878906275,32.0263916015634,47.2221972656209,1.51019729614245
"6898",0.03743411779404,6.37356811523494,4.55154022216838,9.48685058593835,8.03090576171947,12.6228662109386,19.8324804687518,31.5146582031278,46.4868261718791,64.2278515625038,74.06115234375,76.632412109375,82.872255859375,65.9761718750019,68.547861328121,68.307529296871,45.0091015625027,32.678095703126,50.4810742187456,0.990076217651281
"6899",-0.093023090362557,6.15417602539117,4.53696655273478,9.2916198730477,7.19343627929752,11.8246533203136,18.5567309570329,30.1897851562527,44.430322265629,62.8785791015662,73.30697265625,76.265927734375,82.68517578125,65.8183740234394,66.1366406249961,66.922998046871,43.7402050781276,31.089375000001,49.1891406249957,1.25517547607411
"6900",-0.122446269989025,6.00663391113335,4.10720428466834,8.55026367187576,6.30464477539119,10.6409729003916,16.6212951660171,28.2264355468775,43.5491943359414,62.6967480468787,73.878828125,77.187685546875,83.835478515625,66.5013183593769,67.899726562496,67.9670849609335,45.0173632812527,31.7027734375009,51.9162988281205,0.833356094360279
"6901",-0.186207237243669,6.08857299804742,4.54460144043009,9.24870605468833,7.03113769531313,11.5586437988292,17.1910229492203,29.0924853515651,45.0980615234415,63.6368847656288,72.958232421875,77.052646484375,83.618154296875,66.0940332031269,70.5981494140584,69.2426367187459,47.5654296875028,32.5493994140635,53.4488964843703,0.242488632202127
"6902",-0.255361843109154,5.90174865722709,4.19563262939491,8.54183166503982,6.08189880371148,9.97549316406339,14.6017810058607,27.4547460937525,43.2856494140664,62.9334814453162,73.081650390625,78.8990673828125,85.777734375,68.926982421877,76.351440429683,74.8827001953081,52.9144091796907,33.322958984376,55.0560595703077,0.183044319152816
"6903",-0.163748950958267,5.7608807373052,4.22909423828163,8.05783935546947,6.50519104003964,9.66759643554774,15.057008056642,27.4126757812524,45.172500000004,65.1298535156289,75.424453125,81.942890625,88.9448828125,72.8524804687521,81.8776269531202,79.6982714843703,58.536372070316,36.7980737304698,57.310722656245,0.123289413452138
"6904",-0.242453746795676,5.88311340332084,4.42535278320352,8.37559631347731,6.45057128906308,9.80035400390712,15.7764941406264,28.1213671875025,45.4742578125041,64.3928466796913,75.025380859375,81.0774658203125,88.39791015625,71.8886035156271,80.9370019531203,79.4305371093703,59.203061523441,36.9077954101573,56.5235449218701,0.182248249053939
"6905",-0.228883628845235,5.89595520019584,4.48049011230509,8.15341918945385,6.7324658203131,8.99192016601643,15.2366577148451,27.4395849609399,45.258750000004,62.8966992187537,75.0755712890625,81.5760546875,90.104033203125,73.8460937500021,84.1292968749951,83.916699218745,66.1934326171915,37.8515307617199,56.80606445312,0.339997901916474
"6906",-0.254623432159447,5.93252075195365,4.61582000732463,8.50190429687576,6.94696777343812,9.40498718261803,15.204088134767,28.501879882815,46.1057861328166,63.0380078125037,75.931181640625,81.3056103515625,90.119541015625,73.8350488281271,84.5041601562451,83.934140624995,65.9023388671914,38.2579003906261,57.2276220703075,0.300118484497044
"6907",-0.165887908935562,6.00053527832085,4.69818237304729,8.85270996093829,7.28823120117253,9.81639038086025,15.6241406250014,29.3922265625026,45.9408544921916,61.2004443359411,75.1637109375,79.610751953125,88.626962890625,72.0109667968771,82.4532617187452,82.3270410156201,64.5620800781289,37.8406420898449,58.9813867187448,0.001723575592041
"6908",-0.18419281005861,5.64471008300832,4.70960021972698,8.93413818359455,7.67885620117256,10.4541247558603,16.4774707031265,30.7314111328152,47.3400537109417,61.3933544921911,75.54193359375,78.874521484375,88.56880859375,71.0873144531271,74.5449267578081,75.913491210933,54.2328222656282,36.0160107421885,57.492499999995,0.50385231018062
"6909",-0.158098382949843,5.65049682617238,4.62650970459026,9.14926879882894,7.72207580566475,10.9282080078135,15.6186572265639,30.5519873046902,48.5091894531293,63.0880175781287,77.2836181640625,81.2552734375,91.8796875,74.0566210937521,77.304506835933,77.8245458984329,54.2024023437532,35.6177905273448,53.5020947265578,1.29505233764637
"6910",-0.069438261985785,5.7258612060552,4.77954650878949,9.4257867431649,8.6676867675789,11.7131970214854,15.6298510742201,30.5926074218777,48.8317431640669,61.7802197265662,75.9899462890625,77.788759765625,89.259130859375,71.1821972656271,74.8803417968706,75.4468359374955,51.7596044921906,35.8522900390635,54.2631396484328,1.49767425537096
"6911",-0.208211517334003,6.1272387695318,4.77801055908246,9.66427734375086,8.20512084961011,11.4787768554698,15.6105810546889,30.5336865234402,46.6848242187542,60.7691406250036,75.159853515625,76.9602490234375,88.5967578125,70.8171289062521,76.0564257812456,77.3808837890579,53.2165234375032,35.8459814453135,57.2323876953075,1.6526115417479
"6912",-0.10573200225831,5.98080017089897,4.61005126953166,8.89550537109454,7.8443945312507,9.9969903564462,15.1726269531264,30.378937988284,47.1871533203167,62.8871972656287,76.8617138671875,78.80923828125,91.665615234375,75.3396875000022,84.6063867187451,85.7658984374949,65.7788867187539,39.7426562500012,63.9043115234319,1.0162664794921
"6913",-0.120777082443248,6.40647888183651,4.80949951171918,9.59282226562586,8.22634277343823,11.1791955566416,16.410356445314,30.8293237304715,46.7048193359417,61.7200292968787,75.027294921875,76.587470703125,89.24109375,73.2364306640646,80.9998388671828,81.9163476562451,59.7991210937536,35.9139208984386,58.2068701171824,1.44902069091784
"6914",-0.12674379348756,6.61903076171934,4.79558288574262,9.88838134765713,8.72808105468828,11.4817541503916,16.3783374023452,30.0987158203152,45.346933593754,61.7457519531287,75.065693359375,76.601875,88.939658203125,72.8077343750021,79.0124267578079,80.1930908203077,55.8595458984408,33.684208984376,59.1783447265573,1.84361221313461
"6915",-0.129852008819592,6.32637268066463,4.63388244628948,9.70561035156337,9.07744262695394,11.7948193359386,16.9753320312515,30.6442871093777,44.2453759765665,61.7892675781287,76.2182373046875,79.2474755859375,91.13052734375,75.5745117187522,80.7189306640578,81.3792187499952,53.9675585937532,35.1659130859385,62.8351171874945,1.61312011718736
"6916",-0.18201507568361,6.37822875976619,3.84844970703159,8.44126831054763,7.95050415039133,10.7122692871103,15.7192822265639,28.3436791992213,42.4627685546913,59.242036132816,75.6839013671875,78.547646484375,91.0187890625,75.2159375000022,82.7256640624952,85.1826367187449,61.1049560546912,33.7119580078135,66.9886230468692,1.0733521270751
"6917",-0.206014900207538,6.35337036132869,4.29926208496132,9.05636718750081,9.18085693359457,11.9809204101573,17.5734594726578,28.15310058594,40.9889160156287,55.4394189453158,73.60630859375,74.27205078125,86.734482421875,71.1742724609396,75.2203759765581,78.2792968749954,53.5828027343782,32.0383544921884,60.1931689453072,0.640578308105413
"6918",-0.257811069488548,6.53801452636777,4.6567449951176,10.2847192382822,10.2242755126962,13.9214257812512,19.8125305175799,29.6639550781276,41.6180517578162,53.9104589843782,71.482509765625,67.472685546875,81.5077197265625,63.8734765625018,53.2970605468719,59.746694335934,39.5886914062524,29.6760009765634,47.2788769531209,1.40543457031238
"6919",-0.528894004821824,6.09340820312554,4.36529632568398,9.27186279296958,9.79754760742275,13.2277392578137,18.7802319335954,27.8329321289087,40.1843505859411,52.7077050781281,69.8684228515625,65.42875,79.784111328125,62.7831884765643,56.6567138671842,63.1630664062463,41.5290625000025,28.9044409179696,52.1352978515579,1.1489949798583
"6920",-0.631232910156306,6.04328918457085,4.35314941406289,9.03551818847737,9.38573364257896,13.0028442382824,19.1570581054705,26.1486303710961,37.5648583984408,47.5748291015653,65.8346240234375,58.1625732421875,73.498876953125,55.6193261718766,42.6819726562475,51.6460449218719,34.2459252929708,24.865002441407,40.9782568359339,1.3221090698241
"6921",-0.587520446777396,5.94028625488334,4.32894104003945,8.73658935546953,8.86050964355548,12.5694372558605,18.0409753417985,25.3864355468773,37.1772021484408,47.5152636718778,65.12326171875,58.1341162109375,73.1169677734375,55.8104589843766,46.7561328124973,54.4712695312468,35.1998681640646,24.5780541992195,44.4215624999961,0.646965866088811
"6922",-0.629736557006892,5.88319580078177,4.51122924804728,8.91421875000079,8.69982788086015,12.7504125976574,19.4993566894549,25.7579296875023,37.6919311523471,50.3060595703155,66.475048828125,62.321513671875,75.262626953125,58.0986328125017,51.6035205078095,58.0629589843716,37.6066308593772,27.733125000001,49.6283300781207,0.308102493286106
"6923",-0.622583961486872,5.96791870117241,4.54443542480509,9.29863281250083,8.31193176269605,13.1395703125012,19.4310595703142,25.8880346679711,37.0292456054721,50.302392578128,66.6463818359375,61.168818359375,74.7515234375,57.3721533203142,49.1771728515596,57.5290136718716,36.788083496096,28.9850659179696,47.0816552734334,0.537947463989211
"6924",-0.598507156372124,5.94967285156303,4.94599395751997,9.7158392333993,9.05306518554768,13.0055920410168,19.9926123046893,26.5486767578149,37.1925976562533,48.2091894531279,64.19875,51.07033203125,68.622978515625,47.8060156250014,33.6474047851543,46.2021826171848,29.9721264648455,24.259182128907,43.6664306640587,1.33288482666004
"6925",-0.823771514892652,5.77665832519583,4.69390625000042,9.5017944335946,7.79913024902413,12.1592187500011,18.9281884765642,25.4241845703148,35.8277783203157,46.0910742187527,61.8228466796875,50.488447265625,66.9554638671875,46.1418261718763,36.2833276367166,48.4161816406221,29.5026757812518,24.4868554687507,39.7601489257778,0.960645751953041
"6926",-0.765996093750068,5.67373535156301,4.7278845214848,9.28880615234458,7.73197631836006,11.236630859376,19.0598022460955,25.9535205078148,38.3908398437534,47.5524072265653,63.4544140625,53.330068359375,68.4146875,47.0413769531264,36.5193115234354,46.7886132812472,30.8462402343768,25.7424072265633,39.6793847656215,0.991823272704992
"6927",-0.899581756591877,5.79662048339896,4.76177001953168,9.47744140625085,8.04047241211009,11.3545422363291,19.2654663085955,26.7080615234399,39.5805078125035,49.2176171875029,64.4191015625,55.54306640625,70.6028662109375,50.0593847656264,35.4348217773417,47.4469189453097,30.7243920898456,26.7412158203133,39.5391503906216,1.49284927368151
"6928",-0.810430526733471,5.71145751953176,4.62172668457073,9.17081909179769,7.95805969238352,10.1914880371103,18.1477758789079,25.7964160156273,40.4902368164099,49.2639062500029,64.5218310546875,56.4822314453125,69.7289892578125,49.9565429687514,40.4065576171851,48.7225244140596,30.3339477539081,25.8901904296883,40.337055664059,1.15677864074697
"6929",-0.832070159912184,5.46999389648486,4.47419677734415,8.71164062500078,8.23136474609448,10.0988598632822,18.5047875976579,25.277604980471,40.2814843750036,48.0869531250029,63.20205078125,58.115556640625,71.365537109375,51.4649414062515,48.2069873046847,54.8037988281217,34.6085424804708,28.9048437500008,46.0311474609335,0.257409515380837
"6930",-0.698801269531312,5.60655212402394,4.48150299072306,9.01269958496174,8.35337585449293,10.1275317382822,18.4973486328141,25.8222534179711,43.5301318359414,54.1348437500032,68.9558642578125,69.3788916015625,82.910029296875,63.0536914062518,67.3172265624961,69.6231152343709,48.2158544921904,36.9709497070323,58.0527490234324,-0.385678977966275
"6931",-0.753385314941473,5.4243731689458,4.54278717041056,8.80194702148516,8.06407226562572,9.32349304199302,17.5597546386734,24.845563964846,43.3970068359414,52.0626855468781,66.7800390625,65.378642578125,80.5993603515625,60.2594531250017,63.5195361328088,66.7289453124961,42.58821777344,33.188300781251,54.5095996093702,-0.581732254028269
"6932",-0.873937835693437,5.51231994628955,4.32771514892617,9.23294860839926,8.42592773437575,9.87968017578213,18.4244348144548,26.0774340820336,44.363632812504,55.1787548828158,69.154853515625,68.79650390625,82.538056640625,62.5932275390643,66.4715917968711,70.1099414062459,47.7418457031279,35.4372338867198,54.8823388671827,-0.706469879150329
"6933",-0.845650558471755,5.26633300781297,4.5912811279301,9.48485412597741,8.99590637207111,9.97692504882902,18.8314013671892,27.2616894531274,45.361015625004,55.8561914062533,69.9754296875,68.971474609375,82.19525390625,62.1385156250018,66.2680615234336,68.7948828124959,48.8149804687529,35.6079174804698,55.6571630859326,-0.898595275878828
"6934",-0.893959732055744,5.28224365234422,4.51345336914103,9.75619506836025,9.15739379882894,10.2142150878915,19.3426269531267,28.7367431640651,46.0322070312541,59.754477539066,71.76103515625,72.6364111328125,84.5942578125,65.6040722656269,72.5057128906208,74.0197998046831,54.7828662109408,39.9075927734387,57.52321289062,-0.949919586181558
"6935",-0.708012847900454,5.28900756835985,4.49142242431681,9.62623596191492,8.69654541015703,9.68314086914149,18.4666821289079,26.3702514648461,43.1323095703164,53.2215527343782,69.18388671875,68.32078125,81.0094091796875,62.0624511718768,67.845087890621,70.2683789062458,49.823046875003,36.1639550781261,53.5585546874953,-0.941552200317301
"6936",-0.77970230102546,5.20876037597703,4.24176147460975,9.75880859375087,8.87317932128985,10.0708325195321,19.0212976074236,27.47349121094,44.519550781254,57.4134082031284,70.9452001953125,71.963515625,82.871982421875,64.7253076171894,68.547714843746,71.4712402343708,52.1442480468781,38.8546069335949,54.5514453124952,-0.920794982910076
"6937",-0.77511749267585,5.52414123535206,4.34519897460976,10.3566577148447,9.02539916992268,11.3024353027354,20.1085253906268,28.6577734375026,45.002177734379,56.2839892578158,70.33423828125,70.402998046875,80.84103515625,62.7951562500018,64.3920117187462,67.5548779296835,47.7979882812529,37.6683789062511,50.5601904296831,-1.34752044677723
"6938",-0.87256896972664,5.30402404785204,4.28260650634804,10.0720751953134,8.6986633300789,10.7745751953135,20.5127954101581,29.4264599609401,46.0236523437541,59.9904150390661,72.8243408203125,74.0207421875,84.223232421875,66.0949218750019,66.5188769531211,70.0725683593708,49.444531250003,37.5710009765636,50.4071630859331,-0.891804122924727
"6939",-0.995751724243253,5.43505004882861,4.15043945312537,9.97762634277433,7.54420410156317,10.5964575195322,17.6453076171891,26.8298583984399,42.1602880859413,52.6842089843781,68.7896826171875,68.999013671875,80.2066162109375,62.0341748046893,66.2197851562461,69.1980224609334,47.9261083984404,35.3480224609385,47.7144384765583,-1.17467185974111
"6940",-0.939770507812584,5.39614135742236,4.07469238281286,9.93369995117276,7.40400573730535,10.3693640136728,17.6965344238297,27.529614257815,44.7043017578165,55.8689306640658,71.10216796875,72.5015771484375,83.11791015625,64.4529052734394,67.5509374999961,69.5136376953084,48.0145458984404,37.3808447265636,48.0122509765583,-0.382154006957974
"6941",-0.764479675293037,5.55204895019581,4.02052734375036,10.0838903808603,7.73692016601632,10.3504711914072,16.7409997558609,27.2073828125024,43.7356738281289,56.5673828125033,70.7972607421875,72.0585546875,83.733857421875,64.7852246093769,70.3590332031209,71.9260156249957,49.788271484378,38.7106347656261,47.8949707031208,-0.418410949706995
"6942",-0.830242538452222,5.41208374023486,4.15193572998084,9.83199523925869,7.84912048339914,9.82913085937588,15.2332788085951,25.9796582031273,41.4091406250037,52.8038037109406,69.175625,69.16814453125,81.548369140625,62.4555468750018,67.2901953124961,69.7196484374959,48.8542724609404,35.9644116210948,46.008496093746,-0.709847488403258
"6943",-0.905096511840901,5.38495056152392,3.99329772949254,9.75101074218837,7.8233447265632,9.36092590332115,14.7735693359388,26.3695654296898,41.3131787109412,55.0680322265658,69.632568359375,67.7398974609375,81.720830078125,60.7819482421893,57.6304931640591,60.7075195312464,40.5841162109399,34.238437500001,39.4076318359341,0.067452306747431
"6944",-0.698946609497133,5.45556152343799,3.94536071777379,9.58304321289148,7.98105529785227,9.24684997558676,14.35789794922,25.8211108398461,40.8200244140661,51.8769482421906,68.9142138671875,65.1633740234375,80.9094482421875,59.3777050781267,57.8643945312466,59.6802343749965,41.0521582031275,33.979687500001,37.1661572265592,-0.098919601440421
"6945",-0.838737945556715,5.35609863281298,4.18672943115272,9.50232055664147,8.10170654296947,9.02496276855549,14.5182543945325,26.4099072265649,39.7481958007848,51.5947607421906,67.8667578125,63.70365234375,79.416240234375,58.9537011718767,56.4449218749967,59.088735351559,39.6137158203149,32.5635522460947,35.7733471679656,-0.130924644470203
"6946",-0.939483413696373,5.52278137207081,4.01589843750036,9.59127868652429,8.34267944336012,8.76076721191484,14.8098583984388,26.0041113281273,40.0784497070348,51.5615087890656,67.86724609375,63.8746484375,78.7822998046875,59.6884179687517,57.8200146484341,60.9532861328089,41.3012402343775,33.696396484376,36.3633300781218,-0.191538047790511
"6947",-0.711169509887759,5.4296173095708,4.22949218750038,10.1643041992197,8.96812866211017,9.28674499511802,15.1018798828138,26.4957055664086,41.1807568359412,54.0532031250032,69.938125,67.4840234375,81.3127099609375,61.9164355468768,60.5027246093715,62.0085888671838,43.6943798828151,35.814667968751,38.8094531249966,-0.221235256195049
"6948",-0.882017745971758,5.59561767578175,4.11443115234412,10.0096411132821,8.58822631836014,9.16627929687582,15.0079138183607,25.6220263671898,39.739702148441,55.7453222656283,70.214990234375,68.4995703125,80.61751953125,61.9115332031268,60.1226367187465,62.0256347656213,41.6871875000025,33.8715380859385,39.2045336914028,-0.509167785644487
"6949",-0.922698745727621,5.50826721191455,4.11140441894568,9.9768780517587,8.69689270019609,9.23454223632895,15.088883056642,24.4599682617209,39.4560253906285,50.8594384765655,67.34943359375,62.7278515625,75.495087890625,57.4543896484392,54.0624609374968,57.6972363281216,39.4436181640649,30.7031152343759,35.6985498046844,-0.43971519470211
"6950",-1.18679779052745,5.69977294921926,3.96388061523473,10.3740991210947,8.80498535156329,9.70945556640712,15.5679467773451,24.8764941406272,39.8527172851598,56.1003076171908,69.589013671875,66.789052734375,77.272001953125,60.0181347656267,54.6455126953093,57.7811914062466,38.3450000000023,31.3197460937509,36.8671289062468,-0.564189071655224
"6951",-1.11614509582529,5.69206054687551,4.3214630126957,10.4254211425791,8.3682788085945,9.90255981445401,15.7271081542983,24.5131665039084,40.0120849609411,55.8633105468783,70.302138671875,67.5665185546875,78.041328125,60.5257177734392,56.4260986328092,58.910883789059,40.2604980468774,32.9644458007822,38.6617504882779,-0.530833740234329
"6952",-1.0671134185792,5.626381835938,4.26972686767616,10.0761865234384,7.56345886230536,8.70678283691484,14.0380004882825,22.9724853515646,36.3863867187532,47.8114404296903,62.6157666015625,53.40248046875,67.6263623046875,48.9255078125014,42.23922363281,48.2402148437471,33.4863232421895,25.9217675781258,31.506950683591,-0.4690357971191
"6953",-1.23647888183605,5.66866149902394,4.29829437255898,10.4443273925791,8.28687133789136,9.80358642578212,16.4066271972671,24.6976489257835,39.8563647460973,54.4151074218782,68.3965966796875,66.171220703125,75.323818359375,58.3849023437517,54.9581005859343,58.468100585934,40.4954980468774,32.4541894531259,41.7533154296839,-1.10216583251944
"6954",-1.15580352783213,5.57057067871143,4.42357971191446,10.5109765625009,8.06329589843822,9.96893188476652,15.8391137695327,24.8404418945335,40.6687988281286,55.1314697265658,69.25908203125,68.3316796875,75.8130029296875,60.7226464843768,59.9384570312465,63.1811621093713,44.1233496093776,34.0599169921885,43.7645214843712,-1.14140693664541
"6955",-1.2596339416505,5.51248962402393,4.42829833984415,10.7791467285166,8.64621093750077,10.8320385742197,17.5808190917984,26.6170581054711,42.6661962890663,58.511127929691,71.4040625,72.6173828125,78.656572265625,62.9924218750018,60.456616210934,62.8563378906213,43.9917236328151,35.2818310546885,44.2231054687461,-0.56139373779292
"6956",-1.21561531066905,5.26060546875047,4.60017333984416,10.8516455078135,7.86992614746164,11.2976684570323,18.2019653320329,26.5492431640649,43.4787939453164,56.6907861328159,70.640380859375,69.284033203125,76.6595947265625,59.7952636718767,54.9570312499968,58.2093408203091,41.21390136719,32.4833154296884,39.4825488281216,-0.425425109863244
"6957",-1.19273582458507,5.4130938720708,4.4752246093754,11.2070178222666,7.87267700195383,11.8058239746104,17.9875659179704,26.9607177734399,43.6425683593789,56.1847656250033,69.89091796875,69.3910791015625,75.29865234375,59.3952587890642,50.951435546872,56.5202636718717,40.0505615234399,31.7947338867197,38.0638354492154,-0.183930015563949
"6958",-1.29757461547863,5.17109985351609,4.42453186035196,10.951601562501,7.6064074707038,11.262275390626,15.9479760742202,25.2671484375023,41.3075634765662,52.3909667968781,68.339560546875,65.2474853515625,73.162734375,56.6934716796891,47.8321289062472,54.2012499999968,38.6033007812523,31.1135253906259,35.8697460937469,-0.391435127258267
"6959",-1.28916290283215,5.04739318847701,4.16917724609412,10.4866418457041,7.56853332519599,11.7988256835948,16.1036157226577,25.9532861328148,42.4458007812538,56.3679882812533,69.3398388671875,69.0287451171875,76.13537109375,59.5491259765642,55.6384619140592,59.6411523437465,41.9361523437525,33.5987060546885,39.892553710934,-0.828847808837818
"6960",-1.28933486938488,5.09564880371139,4.26446166992226,10.8346240234385,7.09509582519595,12.2049487304698,15.7868395996108,26.1633837890648,42.0888427734413,55.9784570312533,68.448291015625,67.9586865234375,75.7258349609375,58.7479296875017,57.4840332031216,60.7882470703089,42.8312255859401,33.9097021484385,39.5484277343716,-1.20397003173818
"6961",-1.29916748046887,4.72223205566448,4.25573883056679,9.92455810546964,6.11312622070367,10.8604028320322,14.3586096191419,24.9039794921897,41.2831005859412,56.9661914062534,70.0054931640625,69.9081640625,79.178173828125,61.7842480468768,61.7161914062464,64.0647167968712,44.0277685546901,34.6771264648448,40.7724682617152,-0.974629669189368
"6962",-1.37414306640637,4.58649780273478,4.32096374511757,10.0644128417978,6.35861145019588,11.642402343751,15.6167846679701,24.953962402346,41.4053271484412,57.6282421875034,69.8139013671875,69.794951171875,78.877919921875,62.1055273437518,63.5611816406213,66.5384326171836,47.8361669921904,35.7585302734385,42.8795996093713,-1.26340766906727
"6963",-1.35852539062512,4.37597991943398,4.3782192993168,9.8061389160165,6.99837646484437,12.2666137695323,16.4846472167983,25.8324023437523,41.8807763671912,57.9996582031284,70.255126953125,68.791806640625,78.2306005859375,61.1920068359393,60.8891699218714,63.5422558593712,46.4552050781278,35.687470703126,39.9378100585903,-1.54219970703112
"6964",-1.07673553466806,4.41997924804727,4.25865661621132,9.63010131836023,7.71682495117256,11.7145483398448,16.642163085939,25.0069140625022,41.6898291015662,56.7411572265659,69.60232421875,68.4163623046875,78.8229296875,61.1957421875018,61.2901171874964,63.6376416015587,45.0478906250027,33.2953564453135,39.0601123046841,-0.615807952880806
